ID,pid,MATINH,Urban_Rural,age,gender,Q302,Q303A,Q303B,Q304_1,Q304_2,Q304_3,Q304_4,Q305A1,Q305A2,Q305B1,Q305B2,Q306,Q307,Q308,Q309,Q310A1,Q310A2,Q310B1,Q310B2,Q311,Q305A,Q305B,Q310AA,Q310B,region3,agegroup,weight
4.84902E+14,1,48,1,23,1,12,4,0,1,,,,3,31,3,29,4,1,6000,1,,,,,,nhân viên k___ thu___t s___a ch___a ô tô,,,,Central,15-44,1669648
6.46252E+14,4,64,1,38,1,9,1,0,3,,,,8,82,7,45,4,1,4000,2,,,,,,th___ s___a xe máy,,,,Central,15-44,1669648
6.86722E+14,1,68,1,41,1,9,2,0,3,,,,7,71,6,43,4,1,15000,2,,,,,,xây d___ng nhà,,,,Central,15-44,1669648
3.83942E+14,4,38,1,40,1,12,3,0,1,,,,7,75,2,8,4,1,8000,1,,,,,,làm ngh___ dá,,,,Central,15-44,1669648
6.86722E+14,4,68,1,40,1,12,5,0,1,,,,5,53,17,86,5,1,7000,1,,,,,,nhân viên,,,,Central,15-44,1669648
6.86722E+14,5,68,1,43,1,5,0,0,2,,,,6,61,1,1,1,1,12000,2,,,,,,nông,,,,Central,15-44,1669648
4.64742E+14,1,46,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.86732E+14,4,68,1,29,1,0,0,0,3,,,,9,91,6,41,4,1,5000,2,,,,,,ph___ h___,,,,Central,15-44,1669648
5.25402E+14,3,52,1,32,1,12,3,0,1,,,,5,51,14,79,4,1,10000,1,,,,,,ph___ tour,,,,Central,15-44,1669648
4.64742E+14,1,46,1,26,1,9,2,0,1,,,,5,52,19,97,4,1,6000,2,,,,,,buôn bán,,,,Central,15-44,1669648
4.84942E+14,3,48,1,28,1,12,4,4,1,,,,4,42,8,50,4,1,8000,1,,,,,,Nhân viên van phòng,,,,Central,15-44,1669648
4.04122E+14,4,40,1,39,1,12,5,3,1,,,,4,43,12,68,4,1,5000,1,,,,,,Nhân Viên Van Phòng,,,,Central,15-44,1669648
6.66432E+14,4,66,1,40,1,10,2,0,2,,,,6,61,1,1,1,1,4000,2,5,54,21,96,4,tr___ng tr___t,,b___o v___ ___ th___ gi__i di dông,,Central,15-44,1669648
3.83932E+14,4,38,1,44,1,12,3,0,1,,,,9,93,6,41,4,1,9000,2,,,,,,th___ xây,,,,Central,15-44,1669648
4.84942E+14,4,48,1,44,1,12,3,0,1,,,,9,93,6,41,4,1,10000,2,,,,,,th___u xây d___ng,,,,Central,15-44,1669648
4.84922E+14,3,48,1,36,1,12,3,0,1,,,,7,73,21,96,4,1,7000,1,,,,,,công nhân,,,,Central,15-44,1669648
6.66432E+14,3,66,1,32,1,12,4,0,2,,,,9,92,1,1,1,1,0,2,,,,,,Nuôi dúi,,,,Central,15-44,1669648
4.64742E+14,4,46,1,34,1,12,3,2,3,,,,5,52,9,56,4,1,0,2,,,,,,d___u b___p,,,,Central,15-44,1669648
4.84922E+14,4,48,1,38,1,12,4,0,1,,,,5,52,9,55,4,1,10000,1,,,,,,nhân viên khách s___n,,,,Central,15-44,1669648
6.86722E+14,3,68,1,35,1,12,4,0,3,,,,9,95,9,56,2,1,6000,2,,,,,,bán quán an,,,,Central,15-44,1669648
6.76632E+14,1,67,1,17,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84912E+14,1,48,1,27,1,9,2,0,1,,,,9,93,21,95,4,1,9000,2,,,,,,s__n xe ô tô,,,,Central,15-44,1669648
6.46382E+14,2,64,1,27,1,12,3,0,3,,,,8,82,7,45,2,1,4000,2,,,,,,th___ s___a xe,,,,Central,15-44,1669648
4.84902E+14,1,48,1,18,1,8,1,0,1,,,,5,51,21,96,4,1,12000,1,,,,,,lám tóc,,,,Central,15-44,1669648
3.83932E+14,4,38,1,31,1,12,3,0,3,,,,5,53,19,98,4,1,30000,2,,,,,,làm c___t tóc,,,,Central,15-44,1669648
4.24422E+14,1,42,1,18,1,12,3,1,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.46252E+14,3,64,1,36,1,1,0,0,3,,,,7,71,6,41,4,1,0,2,,,,,,th___ h___,,,,Central,15-44,1669648
4.64742E+14,3,46,1,40,1,5,1,0,1,,,,9,93,6,41,4,1,6000,2,,,,,,ph___ h___,,,,Central,15-44,1669648
3.83942E+14,2,38,1,23,1,12,3,0,1,,,,7,75,3,32,6,1,7000,1,,,,,,công nhân,,,,Central,15-44,1669648
6.86722E+14,1,68,1,27,1,12,3,0,2,,,,6,61,1,1,1,1,10000,2,,,,,,nông,,,,Central,15-44,1669648
6.76632E+14,2,67,1,18,1,12,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84912E+14,3,48,1,26,1,12,5,0,1,,,,4,41,11,64,4,1,10000,1,,,,,,nhân viên van phòng,,,,Central,15-44,1669648
6.86732E+14,2,68,1,17,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.46222E+14,1,64,1,38,1,12,3,0,1,,,,9,93,4,35,2,1,8000,2,,,,,,Th___ Di___n,,,,Central,15-44,1669648
4.64742E+14,2,46,1,35,1,9,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84942E+14,5,48,1,43,1,12,3,0,3,,,,8,82,21,95,4,1,15000,2,,,,,,s___a ch___a d___ di___n t___,,,,Central,15-44,1669648
6.66462E+14,3,66,1,37,1,12,3,0,3,,,,6,63,1,1,4,1,15000,2,,,,,,làm nông,,,,Central,15-44,1669648
4.64742E+14,4,46,1,42,1,4,0,0,1,,,,9,93,6,41,4,1,6000,2,,,,,,làm th___ n___,,,,Central,15-44,1669648
4.84922E+14,1,48,1,27,1,1,3,0,1,,,,9,93,8,49,4,1,10000,1,,,,,,shiper,,,,Central,15-44,1669648
6.66562E+14,2,66,1,15,1,9,1,0,3,,,,9,95,21,96,2,1,2500,2,,,,,,dán decal xe,,,,Central,15-44,1669648
5.65682E+14,3,56,1,41,1,12,3,4,1,,,,4,42,16,85,5,1,5000,1,,,,,,Viên ch___c nhà n_____c,,,,Central,15-44,1669648
4.84912E+14,2,48,1,17,1,12,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84902E+14,3,48,1,39,1,12,5,4,1,,,,3,31,3,33,5,1,10000,1,,,,,,nhân viên k___ thu___t,,,,Central,15-44,1669648
6.86732E+14,1,68,1,25,1,12,3,0,3,,,,9,95,9,56,2,1,10000,2,,,,,,bán c__m,,,,Central,15-44,1669648
5.25402E+14,3,52,1,43,1,9,1,0,1,,,,9,93,6,41,4,1,8000,1,9,92,1,1,1,th___ h___,,nông,,Central,15-44,1669648
4.64802E+14,1,46,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.66432E+14,1,66,1,20,1,12,4,0,1,3,,,4,41,13,71,4,1,3000,2,,,,,,L___p trình viên,,,,Central,15-44,1669648
5.25402E+14,2,52,1,27,1,12,3,0,3,,,,5,51,18,93,4,1,2000,1,,,,,,nh___c công,,,,Central,15-44,1669648
4.84942E+14,2,48,1,19,1,12,3,0,1,,,,5,51,21,96,4,1,7000,2,,,,,,ph___ b___p,,,,Central,15-44,1669648
3.83801E+14,5,38,1,38,1,9,2,0,1,,,,7,71,6,41,4,1,8000,2,,,,,,th___ xây,,,,Central,15-44,1669648
4.04122E+14,4,40,1,37,1,12,4,4,3,,,,9,95,21,96,5,1,10000,2,,,,,,Buôn Bán Qu___n Áo,,,,Central,15-44,1669648
5.65722E+14,2,56,1,30,1,11,2,0,2,,,,6,61,1,1,1,1,4500,2,,,,,,làm nông,,,,Central,15-44,1669648
5.25402E+14,3,52,1,32,1,12,3,0,1,,,,7,71,6,41,4,1,8000,1,,,,,,th___ h___,,,,Central,15-44,1669648
6.86722E+14,4,68,1,32,1,12,3,0,3,,,,9,95,9,56,4,1,7000,2,,,,,,bán cafe,,,,Central,15-44,1669648
6.76632E+14,1,67,1,24,1,1,2,0,3,,,,9,93,21,49,2,1,9000,2,,,,,,r___a xe,,,,Central,15-44,1669648
6.86782E+14,1,68,1,21,1,9,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84922E+14,1,48,1,26,1,11,2,0,3,,,,9,95,9,56,4,1,35000,2,,,,,,bán quán an,,,,Central,15-44,1669648
5.25492E+14,3,52,1,38,1,12,3,0,1,,,,9,93,19,97,4,1,8000,1,,,,,,Làm th___ n___i th___t,,,,Central,15-44,1669648
5.65682E+14,2,56,1,21,1,12,5,0,3,,,,5,54,9,56,4,1,2300,2,,,,,,làm quán cà phê,,,,Central,15-44,1669648
6.86732E+14,2,68,1,22,1,12,5,0,3,,,,9,93,21,96,4,1,5000,1,,,,,,ph___c v___,,,,Central,15-44,1669648
5.65682E+14,1,56,1,32,1,12,4,4,1,,,,5,52,8,53,4,1,10000,1,,,,,,Shipper,,,,Central,15-44,1669648
3.83942E+14,3,38,1,39,1,12,3,0,3,,,,8,82,7,45,2,1,10000,2,,,,,,s___a xe máy,,,,Central,15-44,1669648
6.46382E+14,3,64,1,33,1,10,2,0,3,,,,9,95,18,92,2,1,2500,2,,,,,,m___ tiêmh net,,,,Central,15-44,1669648
6.86722E+14,1,68,1,17,1,8,1,0,2,,,,6,61,1,1,4,1,5000,2,,,,,,làm v_____n,,,,Central,15-44,1669648
4.64802E+14,1,46,1,16,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.64742E+14,4,46,1,36,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
4.84912E+14,2,48,1,41,1,12,4,2,1,,,,8,83,8,49,4,1,7000,1,,,,,,tài x___,,,,Central,15-44,1669648
5.25402E+14,2,52,1,25,1,12,3,0,3,,,,3,33,9,56,4,1,10000,1,,,,,,buôn bán quán nh___u,,,,Central,15-44,1669648
6.66562E+14,1,66,1,20,1,12,3,0,2,,,,6,61,1,1,1,1,6000,2,,,,,,tr___ng cà phê tiê lúa,,,,Central,15-44,1669648
6.86732E+14,2,68,1,15,1,9,1,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.86782E+14,1,68,1,18,1,12,3,0,1,,,,5,52,14,82,4,1,6000,1,,,,,,nhân viên siêu th___,,,,Central,15-44,1669648
6.86722E+14,2,68,1,28,1,12,5,0,1,,,,2,23,16,85,5,1,4000,1,,,,,,giáo viên,,,,Central,15-44,1669648
4.64742E+14,3,46,1,35,1,1,3,1,1,,,,7,74,4,35,4,1,8000,2,,,,,,th___ di___n n_____c,,,,Central,15-44,1669648
4.64742E+14,1,46,1,23,1,1,5,0,1,,,,3,31,3,10,4,1,5000,1,,,,,,qu___n lý ch___t l_____ng,,,,Central,15-44,1669648
4.64742E+14,2,46,1,25,1,12,3,0,1,,,,9,93,21,96,4,1,30000,1,,,,,,lái xe t___i,,,,Central,15-44,1669648
5.25402E+14,4,52,1,44,1,9,2,0,2,,,,9,92,1,1,2,1,500,2,7,75,3,14,2,nông,,th___ may,,Central,15-44,1669648
4.04122E+14,4,40,1,32,1,12,4,4,3,,,,3,32,13,74,4,1,5000,2,,,,,,D_____c si bán thu___c,,,,Central,15-44,1669648
5.25492E+14,2,52,1,29,1,12,3,0,1,,,,9,93,3,32,4,1,5000,1,,,,,,th___ s___t,,,,Central,15-44,1669648
6.66432E+14,3,66,1,35,1,12,6,0,1,,,,0,2,15,84,5,1,11000,2,5,52,21,96,4,24/24,,10,,Central,15-44,1669648
4.04122E+14,2,40,1,16,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
5.65682E+14,5,56,1,41,1,10,2,0,1,,,,9,92,19,97,4,1,2000,2,,,,,,"lao d___ng ph___ thông,làm v_____n cây,h___ b__i",,,,Central,15-44,1669648
6.46252E+14,2,64,1,32,1,6,1,0,1,,,,7,75,2,8,2,1,0,2,9,95,3,32,4,th___ làm dá,,làm công nhân thuê,,Central,15-44,1669648
6.66432E+14,1,66,1,24,1,12,5,0,1,,,,8,82,7,45,4,1,6000,1,,,,,,S___a ch___a ô tô,,,,Central,15-44,1669648
5.65722E+14,1,56,1,34,1,12,3,0,1,,,,7,72,3,32,4,1,8000,1,,,,,,công nhân,,,,Central,15-44,1669648
5.65722E+14,3,56,1,32,1,12,5,0,3,,,,9,95,21,96,4,1,20000,2,,,,,,tu kinh doanh,,,,Central,15-44,1669648
4.64802E+14,4,46,1,38,1,9,2,0,3,,,,7,75,21,96,4,1,6000,2,,,,,,th___ c___t tóc,,,,Central,15-44,1669648
4.04322E+14,4,40,1,33,1,12,3,2,2,,,,6,62,1,1,1,1,15000,2,8,82,4,35,5,KINH DOANH H___I S___N,,CÔNG NHÂN,,Central,15-44,1669648
4.04122E+14,4,40,1,42,1,12,3,2,1,,,,8,81,21,95,5,1,10000,1,,,,,,K___ thu___t Di___n,,,,Central,15-44,1669648
4.84912E+14,1,48,1,15,1,10,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
6.86782E+14,3,68,1,36,1,12,3,0,2,,,,6,61,1,1,4,1,0,2,,,,,,làm v_____n,,,,Central,15-44,1669648
5.25492E+14,3,52,1,29,1,12,3,0,1,,,,9,92,3,16,4,1,8000,1,,,,,,công nhân,,,,Central,15-44,1669648
4.44502E+14,5,44,1,37,1,12,3,0,1,,,,8,82,7,45,4,1,5000,1,,,,,,SUA XE MAY,,,,Central,15-44,1669648
6.46222E+14,4,64,1,29,1,7,1,0,3,,,,9,95,8,49,2,1,10000,2,,,,,,shipper,,,,Central,15-44,1669648
4.84902E+14,1,48,1,27,1,12,5,0,3,,,,9,96,21,96,4,1,12000,2,,,,,,th___ di___n,,,,Central,15-44,1669648
4.44552E+14,4,44,1,41,1,12,3,0,3,,,,9,93,6,41,4,1,15000,2,,,,,,XÂY D___NG,,,,Central,15-44,1669648
6.86732E+14,1,68,1,25,1,9,2,0,2,,,,6,61,1,1,4,1,0,2,,,,,,làm v_____n,,,,Central,15-44,1669648
6.46252E+14,4,64,1,38,1,10,2,0,3,,,,8,82,7,45,4,2,,,,,,,,th___ s___a xe máy,,,,Central,15-44,1669648
4.04122E+14,1,40,1,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,1669648
3.84062E+14,4,38,1,38,1,12,4,2,1,,,,4,41,5,36,5,1,9000,1,,,,,,nhân viên công ty c___p n_____c,,,,Central,15-44,1669648
4.64742E+14,1,46,1,24,1,9,2,0,1,,,,7,75,21,96,4,1,9000,2,,,,,,th___ diêu kh___c,,,,Central,15-44,1669648
4.64742E+14,2,46,1,29,1,12,4,4,1,,,,4,41,10,62,4,1,10000,1,,,,,,nhân viên van phòng,,,,Central,15-44,1669648
4.64742E+14,2,46,1,19,1,1,2,0,1,,,,8,82,7,45,4,1,1500,2,,,,,,th___ s___a xe máy,,,,Central,15-44,1669648
4.44542E+14,4,44,2,41,1,12,5,0,1,,,,3,36,16,85,5,1,8000,1,,,,,,GIAO VIEN,,,,Central,15-44,4308073
6.76622E+14,1,67,2,39,1,12,5,0,3,,,,2,24,1,1,4,1,30000,1,9,95,9,56,4,ki thu___t,,quán n_____c,,Central,15-44,4308073
4.64822E+14,5,46,2,33,1,12,3,0,2,3,,,5,52,9,56,4,1,3000,2,9,92,1,3,1,bán cà phê,,nuôi tôm,,Central,15-44,4308073
5.25492E+14,1,52,2,27,1,12,3,0,3,,,,5,51,7,45,4,1,10000,2,,,,,,s___a xe máy t___i nhà,,,,Central,15-44,4308073
4.04272E+14,1,40,2,15,1,10,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
6.46342E+14,4,64,2,33,1,9,2,0,3,,,,7,74,4,35,4,1,0,2,,,,,,Th___ di___n,,,,Central,15-44,4308073
6.66492E+14,4,66,2,44,1,12,5,0,1,,,,2,22,17,86,5,1,9000,1,,,,,,bác si,,,,Central,15-44,4308073
4.64782E+14,3,46,2,25,1,8,1,0,1,,,,9,96,21,96,4,1,3000,2,,,,,,th___ may,,,,Central,15-44,4308073
3.83922E+14,4,38,2,30,1,12,3,0,1,,,,7,71,6,41,4,1,4000,2,,,,,,lao d___ng t___ do,,,,Central,15-44,4308073
3.83942E+14,4,38,2,36,1,12,3,0,1,,,,7,75,3,32,6,1,9000,1,,,,,,công nhân,,,,Central,15-44,4308073
6.66492E+14,5,66,2,41,1,9,2,0,3,,,,8,82,7,45,2,1,20000,2,,,,,,Th___ s___a xe,,,,Central,15-44,4308073
6.46222E+14,2,64,2,25,1,12,3,0,3,,,,9,95,7,47,2,1,6000,2,,,,,,kinh doanh quán net,,,,Central,15-44,4308073
6.46312E+14,5,64,2,35,1,3,0,0,2,,,,6,61,1,1,1,1,2000,2,,,,,,nông,,,,Central,15-44,4308073
5.65682E+14,1,56,2,23,1,12,5,0,1,,,,9,93,6,41,4,1,8000,2,,,,,,công nhân th___ch cao,,,,Central,15-44,4308073
3.83992E+14,4,38,2,43,1,12,3,0,1,,,,7,71,6,41,4,1,6000,2,,,,,,th___ xây,,,,Central,15-44,4308073
4.24462E+14,1,42,2,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
5.65722E+14,4,56,2,39,1,12,3,2,3,,,,9,93,6,41,4,1,7800,1,7,74,4,35,4,ph___ h___,,th___ di___n,,Central,15-44,4308073
4.04312E+14,3,40,2,43,1,7,1,0,2,,,,6,63,1,1,1,1,1000,2,,,,,,LÀM RU___NG,,,,Central,15-44,4308073
6.66522E+14,4,66,2,29,1,9,2,0,2,3,,,8,81,3,32,2,1,7000,2,6,61,1,1,1,c__ khí,,nông,,Central,15-44,4308073
5.65722E+14,1,56,2,15,1,9,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
5.25502E+14,4,52,2,43,1,9,2,0,2,,,,6,61,1,1,1,1,3000,2,,,,,,nông,,,,Central,15-44,4308073
5.65722E+14,3,56,2,33,1,12,3,0,1,,,,9,93,8,49,4,1,10000,2,,,,,,chuyen phat hang hoa,,,,Central,15-44,4308073
4.64822E+14,1,46,2,25,1,5,1,0,3,,,,8,82,7,45,4,1,6000,2,,,,,,"s___a xe máy,",,,,Central,15-44,4308073
4.04292E+14,3,40,2,19,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
6.66542E+14,3,66,2,38,1,9,2,0,1,,,,7,72,3,28,4,1,6000,2,,,,,,làm c__ khí,,,,Central,15-44,4308073
5.65732E+14,1,56,2,15,1,9,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
3.84042E+14,4,38,2,44,1,12,5,0,1,,,,3,36,16,85,5,1,9000,1,,,,,,Giáo viên,,,,Central,15-44,4308073
3.83992E+14,1,38,2,16,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
6.46312E+14,5,64,2,40,1,11,2,3,3,,,,9,95,7,47,2,1,20000,2,,,,,,buôn bán t___p hoad,,,,Central,15-44,4308073
4.64822E+14,5,46,2,39,1,1,3,0,1,2,,,6,63,1,1,1,1,13000,2,3,34,11,64,5,làm th___y s___n,,nhân viên t___ vay v___n gân hàng chính cách,,Central,15-44,4308073
3.84072E+14,4,38,2,42,1,12,3,0,1,,,,9,93,6,41,4,1,7000,2,,,,,,th___ xây,,,,Central,15-44,4308073
4.44542E+14,4,44,2,33,1,9,2,0,2,3,,,9,93,7,45,1,1,5000,2,,,,,,SUA XE,,,,Central,15-44,4308073
6.86742E+14,5,68,2,36,1,9,2,0,3,,,,9,95,7,47,4,1,2000,2,,,,,,buôn bán t___p hóa,,,,Central,15-44,4308073
4.04262E+14,7,40,2,44,1,6,1,0,3,,,,9,95,7,47,2,1,10000,2,7,74,19,97,2,BUÔN BÁN,,S___A CH___A DI___N C__,,Central,15-44,4308073
4.04262E+14,5,40,2,42,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
3.83952E+14,4,38,2,43,1,9,2,0,1,,,,9,93,6,41,4,1,6000,2,,,,,,th___ xây,,,,Central,15-44,4308073
4.04262E+14,1,40,2,18,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
5.65742E+14,2,56,2,27,1,12,4,0,1,,,,5,54,14,80,4,1,6000,1,,,,,,nhân viên b___o v___,,,,Central,15-44,4308073
4.44542E+14,3,44,2,39,1,12,3,2,3,,,,7,71,6,41,4,1,6000,2,9,96,19,97,4,XÂY D__NG,,HÀN XÌ,,Central,15-44,4308073
3.83992E+14,3,38,2,38,1,12,3,0,1,,,,7,75,3,32,6,1,9000,1,,,,,,công nhân,,,,Central,15-44,4308073
4.04272E+14,2,40,2,15,1,10,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
5.25492E+14,3,52,2,32,1,12,4,0,1,,,,8,82,4,35,4,1,10000,1,,,,,,th___ c__ di___n,,,,Central,15-44,4308073
4.24392E+14,1,42,2,17,1,12,3,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
4.04292E+14,5,40,2,40,1,9,2,1,1,,,,8,82,19,97,2,1,4000,2,,,,,,C__ KHÍ,,,,Central,15-44,4308073
4.24392E+14,5,42,2,28,1,12,3,0,1,,,,5,52,21,96,4,1,0,2,,,,,,Nhân viên nhà hàng,,,,Central,15-44,4308073
6.46342E+14,1,64,2,24,1,8,1,0,1,,,,9,93,8,49,3,1,7000,2,,,,,,lái xe,,,,Central,15-44,4308073
3.83922E+14,2,38,2,37,1,12,3,0,1,,,,7,75,3,32,6,1,7000,1,,,,,,công nhân,,,,Central,15-44,4308073
4.44542E+14,4,44,2,38,1,8,1,0,2,,,,6,63,1,1,1,1,3000,2,,,,,,NÔNG NGHI___P,,,,Central,15-44,4308073
4.04312E+14,4,40,2,35,1,10,2,0,1,,,,7,75,3,14,4,1,8000,1,6,63,1,1,1,CÔNG NHÂN,,LÀM NÔNG,,Central,15-44,4308073
6.86742E+14,4,68,2,31,1,9,0,0,3,,,,9,95,9,56,4,1,10000,2,,,,,,ch___ quán an,,,,Central,15-44,4308073
5.65682E+14,2,56,2,32,1,12,3,0,3,,,,7,75,21,96,4,1,10000,2,9,95,21,96,4,tho hot toc,,buôn bán kem yourt,,Central,15-44,4308073
5.65682E+14,3,56,2,44,1,9,2,0,1,,,,9,93,6,41,4,1,12000,1,,,,,,S__n N_____c,,,,Central,15-44,4308073
6.46342E+14,2,64,2,42,1,6,2,0,1,,,,9,93,19,97,2,1,6000,2,,,,,,Th___ H___,,,,Central,15-44,4308073
5.65722E+14,2,56,2,26,1,9,2,0,3,,,,7,75,21,96,4,1,7000,2,,,,,,chu tiem hot toc,,,,Central,15-44,4308073
4.64772E+14,1,46,2,30,1,12,5,2,1,,,,5,51,21,96,4,1,9000,2,5,51,21,96,4,kinh doanh t___ do,,cho vay,,Central,15-44,4308073
5.65702E+14,1,56,2,22,1,12,4,0,1,,,,5,51,9,55,4,1,8000,1,,,,,,nhan vien resort,,,,Central,15-44,4308073
6.66542E+14,4,66,2,34,1,9,3,0,3,,,,6,63,1,1,4,1,3000,2,,,,,,làm nông,,,,Central,15-44,4308073
4.44542E+14,4,44,2,38,1,9,2,0,2,,,,6,63,1,1,1,1,3000,2,,,,,,CHAN NUÔI,,,,Central,15-44,4308073
6.66522E+14,1,66,2,27,1,12,3,0,3,,,,9,95,18,92,4,1,15000,2,,,,,,kinh doanh bida,,,,Central,15-44,4308073
6.76632E+14,1,67,2,25,1,12,3,0,2,,,,6,61,1,1,2,2,,,,,,,,làm r___y,,,,Central,15-44,4308073
6.76652E+14,3,67,2,36,1,8,1,0,3,,,,9,95,9,56,4,1,0,2,6,61,1,1,4,buôn bán bún,,làm v_____n,,Central,15-44,4308073
6.66432E+14,1,66,2,30,1,12,3,0,2,3,,,6,62,1,1,4,1,20000,2,5,52,12,68,4,30,,40,,Central,15-44,4308073
3.83942E+14,3,38,2,38,1,12,3,0,1,,,,9,93,6,43,4,1,9000,2,,,,,,th___ xây,,,,Central,15-44,4308073
3.83972E+14,1,38,2,16,1,11,2,0,0,,,,,,,,,,,,,,,,,,,,,Central,15-44,4308073
6.66492E+14,2,66,2,21,1,12,3,2,1,,,,7,73,3,18,4,1,10000,2,,,,,,Làm photo,,,,Central,15-44,4308073
5.65702E+14,4,56,2,35,1,6,1,0,2,,,,6,62,1,3,1,1,7000,2,,,,,,dánh b___t th___y s___n,,,,Central,15-44,4308073
4.04192E+14,1,40,2,40,1,9,2,0,1,,,,9,93,19,98,4,1,3000,2,,,,,,C__ KHÍ,,,,Central,15-44,4308073
5.65682E+14,2,56,2,30,1,8,1,0,1,,,,7,71,6,41,4,1,6000,2,,,,,,xây d___ng,,,,Central,15-44,4308073
4.04242E+14,3,40,2,35,1,9,2,0,2,,,,6,63,1,1,1,1,5000,2,,,,,,NÔNG NGHI___P,,,,Central,15-44,4308073
4.84972E+14,1,48,2,26,1,12,5,4,1,,,,8,81,3,26,6,1,10000,2,,,,,,công nhân,,,,Central,15-44,4308073
